Votes,Rank,Title,Year,Country
"47640","8.2","Smultronstället","1957","Sweden"
"125137","8.2","The Elephant Man","1980","USA"
"109618","8.2","Tonari no Totoro","1988","Japan"
"30922","8.2","Ikiru","1952","Japan"
"60810","8.2","Ran","1985","Japan-France"
"39058","8.2","The General","1926","USA"
"362843","8.2","Blade Runner","1982","USA-UK-China"
"317641","8.2","Lock Stock and Two Smoking Barrels","1998","UK"
"47573","8.2","The Gold Rush","1925","USA"
"436234","8.2","Good Will Hunting","1997","USA"
"423918","8.2","Gran Torino","2008","USA"
"87011","8.2","El secreto de sus ojos","2009","Argentina"
"68225","8.2","Rebecca","1940","USA"
"395901","8.2","The Big Lebowski","1998","UK-USA"
"246498","8.2","Casino","1995","France-USA"
"234697","8.2","Warrior","2011","USA"
"48423","8.2","It Happened One Night","1934","USA"
"583265","8.2","V for Vendetta","2005","UK-USA-Germany"
"172316","8.2","Rush","2013","UK-Germany"
"123584","8.2","The Grand Budapest Hotel","2014","UK-Germany"
"181520","8.2","The Deer Hunter","1978","UK-USA"
"94023","8.2","Cool Hand Luke","1967","USA"
"328810","8.2","Fargo","1996","USA-UK"
"88813","8.2","The Maltese Falcon","1941","USA"
"144789","8.2","Hauru no ugoku shiro","2004","Japan"
"224580","8.2","12 Years a Slave","2013","UK-USA"
"312396","8.2","How to Train Your Dragon","2010","USA"
"359435","8.2","Trainspotting","1996","UK"
"166830","8.2","Gone with the Wind","1939","USA"
"307984","8.1","Into the Wild","2007","USA"
"26650","8.1","Dawn of the Planet of the Apes","2014","USA"
"40849","8.1","Rang De Basanti","2006","India"
"203722","8.1","Hotel Rwanda","2004","USA-UK-Italy-South Africa"
"30561","8.1","Judgment at Nuremberg","1961","USA"
"537248","8.1","The Sixth Sense","1999","USA"
"411948","8.1","A Beautiful Mind","2001","USA"
"115186","8.1","Butch Cassidy and the Sundance Kid","1969","USA"
"196538","8.1","The Thing","1982","USA"
"76427","8.1","Dial M for Murder","1954","USA"
"25603","8.1","Le salaire de la peur","1953","France-Italy"
"225520","8.1","Platoon","1986","UK-USA"
"451152","8.1","No Country for Old Men","2007","USA"
"531507","8.1","Kill Bill: Vol. 1","2003","USA"
"474934","8.1","Finding Nemo","2003","USA"
"82367","8.1","Mary and Max","2009","Australia"
"144968","8.1","Annie Hall","1977","USA"
"206356","8.1","Life of Brian","1979","UK"
"508323","8.1","Sin City","2005","USA"
"57362","8.1","Touch of Evil","1958","USA"
"78599","8.1","Network","1976","USA"
"30773","8.1","Les diaboliques","1955","France"
"41250","8.1","How to Train Your Dragon 2","2014","USA"
"231535","8.1","The Princess Bride","1987","USA"
"207684","8.1","Stand by Me","1986","USA"
"49443","8.1","Incendies","2010","Canada-France"
"135478","8.1","Amores perros","2000","Mexico"
"218571","8.1","The Wizard of Oz","1939","USA"
"678249","8.1","The Avengers","2012","USA"
"31686","8.1","The Raid 2: Berandal","2014","Indonesia-USA"
"120250","8.1","Ben-Hur","1959","USA"
"283351","8.1","There Will Be Blood","2007","USA"
"47740","8.1","The Grapes of Wrath","1940","USA"
"348898","8.1","Million Dollar Baby","2004","USA"
"52399","8.1","Les quatre cents coups","1959","France"
"84964","8.1","Hachi: A Dog's Tale","2009","USA-UK"
"31291","8.1","The Best Years of Our Lives","1946","USA"
"79129","8.1","In the Name of the Father","1993","Ireland-UK-USA"
"447199","8.1","Donnie Darko","2001","USA"
"364834","8.1","The Bourne Ultimatum","2007","UK-USA-Germany"
"60791","8.1","8½","1963","Italy-France"
"72257","8.1","Strangers on a Train","1951","USA"
"127607","8.1","Gandhi","1982","UK-India"
"43117","8.1","Persona","1966","Sweden"
"175249","8.1","Her","2013","USA"
"62965","8.1","High Noon","1952","USA"
"342786","8.1","The King's Speech","2010","UK-USA-Australia"
"303048","8.1","Jaws","1975","USA"
"71382","8.1","Mou gaan dou","2002","China"
"64386","8.1","Kaze no tani no Naushika","1984","Japan"
"58307","8.1","Notorious","1946","USA"
"355000","8.1","Twelve Monkeys","1995","USA"
"31732","8.1","Fanny och Alexander","1982","Sweden"
"432730","8.0","The Terminator","1984","UK-USA"
"108643","8.0","Yip Man","2008","China"
"49950","8.0","Stalker","1979","Soviet Union"
"368777","8.0","Harry Potter and the Deathly Hallows: Part 2","2011","USA-UK"
"49664","8.0","The Night of the Hunter","1955","USA"
"322938","8.0","Groundhog Day","1993","USA"
"36577","8.0","La strada","1954","Italy"
"256278","8.0","Rocky","1976","USA"
"525090","8.0","Shutter Island","2010","USA"
"143206","8.0","Dog Day Afternoon","1975","USA"
"37528","8.0","Lagaan: Once Upon a Time in India","2001","India"
"43110","8.0","Who's Afraid of Virginia Woolf?","1966","USA"
"76477","8.0","La haine","1995","France"
"127673","8.0","Before Sunrise","1995","USA"
"600411","8.0","Pirates of the Caribbean: The Curse of the Black Pearl","2003","USA"
"51769","8.0","The Big Sleep","1946","USA"
"397464","8.0","Monsters Inc.","2001","USA"
"27199","8.0","La battaglia di Algeri","1966","Italy-Algeria"
"77466","8.0","Barry Lyndon","1975","UK-USA"
"168802","8.0","The Graduate","1967","USA"
"42462","8.0","Salinui chueok","2003","South Korea"
"73535","8.0","Roman Holiday","1953","USA"
"66096","8.0","Tenkû no shiro Rapyuta","1986","Japan"
"49202","8.0","The Hustler","1961","USA"
"97955","8.0","Per un pugno di dollari","1964","Italy-Spain-Germany"
"54644","8.0","Festen","1998","Denmark-Sweden"
"238504","8.0","The Help","2011","USA"
"164420","8.0","Captain America: The Winter Soldier","2014","USA"
"478733","8.0","The Truman Show","1998","USA"
"57765","8.0","Fa yeung nin wa","2000","China-France-India"
"492120","8.0","Slumdog Millionaire","2008","UK"
"89084","8.0","A Christmas Story","1983","USA-Canada"
"37429","8.0","Stalag 17","1953","USA"
"397495","8.0","Gravity","2013","USA-UK"
"49637","8.0","The Killing","1956","USA"
"219984","8.0","Beauty and the Beast","1991","USA"
"75870","8.0","Rope","1948","USA"
"395279","8.0","Jurassic Park","1993","USA"
"36961","8.0","Swades: We the People","2004","India"
"32688","8.0","Underground","1995","France-Germany-Hungary-FR Yugoslavia-Bulgaria"
"51111","8.0","Tropa de Elite 2 - O Inimigo Agora É Outro","2010","Brazil"
"434462","8.0","Black Swan","2010","USA"
